title,lv,url,tag,id
브라이언의 고민,3,https://programmers.co.kr/learn/courses/30/lessons/1830,2017 카카오코드 예선,30
H-Index,2,https://programmers.co.kr/learn/courses/30/lessons/42747,정렬,31
전화번호 목록,2,https://programmers.co.kr/learn/courses/30/lessons/42577,해시,32
위장,2,https://programmers.co.kr/learn/courses/30/lessons/42578,해시,33
구명보트,2,https://programmers.co.kr/learn/courses/30/lessons/42885,탐욕법(Greedy),34
타겟 넘버,2,https://programmers.co.kr/learn/courses/30/lessons/43165,깊이/너비 우선 탐색(DFS/BFS),35
카펫,2,https://programmers.co.kr/learn/courses/30/lessons/42842,완전탐색,36
자물쇠와 열쇠,3,https://programmers.co.kr/learn/courses/30/lessons/60059,2020 KAKAO BLIND RECRUITMENT,37
네트워크,3,https://programmers.co.kr/learn/courses/30/lessons/43162,깊이/너비 우선 탐색(DFS/BFS),38
3 x n 타일링,4,https://programmers.co.kr/learn/courses/30/lessons/12902,연습문제,39
4단 고음,4,https://programmers.co.kr/learn/courses/30/lessons/1831,2017 카카오코드 예선,40
3 x n 타일링,4,https://programmers.co.kr/learn/courses/30/lessons/12902,연습문제,41
정수 삼각형,3,https://programmers.co.kr/learn/courses/30/lessons/43105,동적계획법(Dynamic Programming),42
가장 먼 노드,3,https://programmers.co.kr/learn/courses/30/lessons/49189,그래프,43
단어 변환,3,https://programmers.co.kr/learn/courses/30/lessons/43163,깊이/너비 우선 탐색(DFS/BFS),44
섬 연결하기,3,https://programmers.co.kr/learn/courses/30/lessons/42861,탐욕법(Greedy),45
단속카메라,3,https://programmers.co.kr/learn/courses/30/lessons/42884,탐욕법(Greedy),46
디스크 컨트롤러,3,https://programmers.co.kr/learn/courses/30/lessons/42627,힙(Heap),47
여행경로,3,https://programmers.co.kr/learn/courses/30/lessons/43164,깊이/너비 우선 탐색(DFS/BFS),48
입국심사,3,https://programmers.co.kr/learn/courses/30/lessons/43238,이분탐색,49
이중우선순위큐,3,https://programmers.co.kr/learn/courses/30/lessons/42628,힙(Heap),50
등굣길,3,https://programmers.co.kr/learn/courses/30/lessons/42898,동적계획법(Dynamic Programming),51
순위,3,https://programmers.co.kr/learn/courses/30/lessons/49191,그래프,52
베스트앨범,3,https://programmers.co.kr/learn/courses/30/lessons/42579,해시,53
가운데 글자 가져오기,1,https://programmers.co.kr/learn/courses/30/lessons/12903,연습문제,54
3진법 뒤집기,1,https://programmers.co.kr/learn/courses/30/lessons/68935,월간 코드 챌린지 시즌1,55
보행자 천국,3,https://programmers.co.kr/learn/courses/30/lessons/1832,2017 카카오코드 예선,56
가사 검색,4,https://programmers.co.kr/learn/courses/30/lessons/60060,2020 KAKAO BLIND RECRUITMENT,57
징검다리,4,https://programmers.co.kr/learn/courses/30/lessons/43236,이분탐색,58
도둑질,4,https://programmers.co.kr/learn/courses/30/lessons/42897,동적계획법(Dynamic Programming),59
쿼드압축 후 개수 세기,2,https://programmers.co.kr/learn/courses/30/lessons/68936,월간 코드 챌린지 시즌1,60
기둥과 보 설치,3,https://programmers.co.kr/learn/courses/30/lessons/60061,2020 KAKAO BLIND RECRUITMENT,61
가장 긴 팰린드롬,3,https://programmers.co.kr/learn/courses/30/lessons/12904,연습문제,62
캠핑,4,https://programmers.co.kr/learn/courses/30/lessons/1833,2017 카카오코드 예선,63
방의 개수,5,https://programmers.co.kr/learn/courses/30/lessons/49190,그래프,64
가장 큰 정사각형 찾기,2,https://programmers.co.kr/learn/courses/30/lessons/12905,연습문제,65
외벽 점검,3,https://programmers.co.kr/learn/courses/30/lessons/60062,2020 KAKAO BLIND RECRUITMENT,66
트리 트리오 중간값,4,https://programmers.co.kr/learn/courses/30/lessons/68937,월간 코드 챌린지 시즌1,67
신비로운 유적 탐험,5,https://programmers.co.kr/learn/courses/30/lessons/1834,2017 카카오코드 예선,68
같은 숫자는 싫어,1,https://programmers.co.kr/learn/courses/30/lessons/12906,연습문제,69
단체사진 찍기,2,https://programmers.co.kr/learn/courses/30/lessons/1835,2017 카카오코드 본선,70
블록 이동하기,3,https://programmers.co.kr/learn/courses/30/lessons/60063,2020 KAKAO BLIND RECRUITMENT,71
문자열의 아름다움,5,https://programmers.co.kr/learn/courses/30/lessons/68938,월간 코드 챌린지 시즌1,72
리틀 프렌즈 사천성,3,https://programmers.co.kr/learn/courses/30/lessons/1836,2017 카카오코드 본선,73
거스름돈,3,https://programmers.co.kr/learn/courses/30/lessons/12907,연습문제,74
GPS,3,https://programmers.co.kr/learn/courses/30/lessons/1837,2017 카카오코드 본선,75
역순 정렬하기,1,https://programmers.co.kr/learn/courses/30/lessons/59035,SELECT,76
튜플,2,https://programmers.co.kr/learn/courses/30/lessons/64065,2019 카카오 개발자 겨울 인턴십,77
올바른 괄호,2,https://programmers.co.kr/learn/courses/30/lessons/12909,연습문제,78
몸짱 트레이너 라이언의 고민,4,https://programmers.co.kr/learn/courses/30/lessons/1838,2017 카카오코드 본선,79
직사각형의 넓이,5,https://programmers.co.kr/learn/courses/30/lessons/12974,연습문제,80
나누어 떨어지는 숫자 배열,1,https://programmers.co.kr/learn/courses/30/lessons/12910,연습문제,81
튜브의 소개팅,5,https://programmers.co.kr/learn/courses/30/lessons/1839,2017 카카오코드 본선,82
다음 큰 숫자,2,https://programmers.co.kr/learn/courses/30/lessons/12911,연습문제,83
스마트한 프로도,5,https://programmers.co.kr/learn/courses/30/lessons/1840,2017 카카오코드 본선,84
두 정수 사이의 합,1,https://programmers.co.kr/learn/courses/30/lessons/12912,연습문제,85
IU와 콘의 보드게임,5,https://programmers.co.kr/learn/courses/30/lessons/1841,2017 카카오코드 본선,86
땅따먹기,2,https://programmers.co.kr/learn/courses/30/lessons/12913,연습문제,87
네오의 귀걸이,5,https://programmers.co.kr/learn/courses/30/lessons/1842,2017 카카오코드 본선,88
멀리 뛰기,3,https://programmers.co.kr/learn/courses/30/lessons/12914,연습문제,89
사칙연산,4,https://programmers.co.kr/learn/courses/30/lessons/1843,찾아라 프로그래밍 마에스터,90
문자열 내 마음대로 정렬하기,1,https://programmers.co.kr/learn/courses/30/lessons/12915,연습문제,91
게임 맵 최단거리,4,https://programmers.co.kr/learn/courses/30/lessons/1844,찾아라 프로그래밍 마에스터,92
문자열 내 p와 y의 개수,1,https://programmers.co.kr/learn/courses/30/lessons/12916,연습문제,93
폰켓몬,2,https://programmers.co.kr/learn/courses/30/lessons/1845,찾아라 프로그래밍 마에스터,94
문자열 내림차순으로 배치하기,1,https://programmers.co.kr/learn/courses/30/lessons/12917,연습문제,95
문자열 다루기 기본,1,https://programmers.co.kr/learn/courses/30/lessons/12918,연습문제,96
서울에서 김서방 찾기,1,https://programmers.co.kr/learn/courses/30/lessons/12919,연습문제,97
